Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g),Stage number
386.2183292,8.238767914,22.4642992,531.7382813,112.8,1
387.2239687,8.505544094,22.01043367,531.7382813,113.1,1
388.2168264,9.105790498,22.01043367,528.515625,113.5,1
389.2139397,8.438850049,22.48065472,528.515625,113.7,1
390.2265391,8.472197072,22.38252163,541.40625,114.1,1
391.2174647,10.23958926,25.06073713,531.7382813,114.5,1
392.2198658,8.505544094,22.02678919,528.515625,114.8,1
393.2134314,8.705626229,22.04723358,557.5195313,115.1,1
394.2254093,9.639342858,22.43567705,528.515625,115.5,1
395.2279234,8.205420892,22.43567705,544.6289062,115.7,1
396.2267418,8.405503027,22.02270031,531.7382813,116.1,1
397.2208345,8.472197072,22.03087807,528.515625,116.5,1
398.2260308,8.538891117,22.03087807,512.4023437,116.7,1
399.2227921,9.005749431,22.02678919,525.2929688,117.1,1
400.2348039,8.505544094,21.97363377,515.625,117.5,1
401.2295339,8.605585161,22.03905582,525.2929688,117.7,1
402.2280569,8.738973251,21.9859004,528.515625,118,1
403.2355905,8.305461959,21.98181152,534.9609375,118.4,1
404.2312396,8.03868578,22.95496464,541.40625,118.7,1
405.2320378,8.472197072,22.39478827,531.7382813,119,1
406.2318513,9.139137521,21.97772264,528.515625,119.4,1
407.2493048,8.372156004,22.00225592,528.515625,119.7,1
408.2243869,8.438850049,22.03905582,534.9609375,120,1
409.2288928,8.605585161,22.4847436,522.0703125,120.4,1
410.2218359,8.572238139,22.42341042,531.7382813,120.7,1
411.2325668,8.572238139,22.01043367,528.515625,120.9,1
412.2316515,8.572238139,22.5419879,522.0703125,121.4,1
413.2298582,8.638932184,22.03496695,528.515625,121.7,1
414.2340212,8.572238139,22.09630013,528.515625,121.9,1
415.2231255,8.605585161,22.50109911,538.1835938,122.3,1
416.2303658,8.605585161,22.48065472,541.40625,122.6,1
417.2334056,8.505544094,22.02270031,531.7382813,122.9,1
418.2327528,8.605585161,22.50109911,534.9609375,123.3,1
419.2258608,8.17207387,22.55016565,528.515625,123.6,1
420.2300916,8.572238139,22.46838808,515.625,123.9,1
421.2252502,8.605585161,22.45203257,525.2929688,124.3,1
422.2372093,8.505544094,22.05541134,538.1835938,124.6,1
423.2250655,8.405503027,22.0063448,525.2929688,124.9,1
424.2395718,9.005749431,22.4847436,531.7382813,125.3,1
425.2329478,8.605585161,21.97363377,518.8476563,125.6,1
426.2270753,8.305461959,22.01043367,522.0703125,125.9,1
427.2346489,8.638932184,22.05541134,522.0703125,126.3,1
428.2281396,8.272114937,22.49292135,528.515625,126.6,1
429.2438717,8.672279206,22.42749929,525.2929688,126.9,1
430.234627,8.572238139,22.08403349,518.8476563,127.3,1
431.2389245,9.906119037,22.08812237,525.2929688,127.6,1
432.2313728,8.638932184,22.47247696,528.515625,127.9,1
433.2491155,7.938644712,22.0635891,567.1875,128.2,1
434.2386756,8.405503027,22.05950022,531.7382813,128.5,1
435.2540104,8.572238139,22.03905582,534.9609375,128.8,1
436.2348864,8.505544094,22.04723358,531.7382813,129.2,1
437.2424817,8.105379825,22.09630013,531.7382813,129.5,1
438.2359188,8.572238139,22.48883247,522.0703125,129.8,1
