   3.4661080e+02	   3.5606944e+00	   1.9720690e+01	   1.3631477e+01	   5.3737797e+02	   7.8872904e+01	   1.0000000e+00	
   3.4893338e+02	   3.5174740e+00	   1.9586207e+01	   1.4112081e+01	   5.3672558e+02	   7.9409877e+01	   1.0000000e+00	
   3.5109180e+02	   3.4447196e+00	   1.9720690e+01	   1.3574457e+01	   5.2341271e+02	   7.9907870e+01	   1.0000000e+00	
   3.5330950e+02	   3.6098557e+00	   1.9737931e+01	   1.3639623e+01	   4.7138447e+02	   8.0410808e+01	   1.0000000e+00	
   3.5552337e+02	   3.6689184e+00	   1.9741379e+01	   1.3301572e+01	   4.6451397e+02	   8.0907844e+01	   1.0000000e+00	
   3.5781504e+02	   3.5953676e+00	   1.9955172e+01	   1.3214004e+01	   4.7603276e+02	   8.1414219e+01	   1.0000000e+00	
   3.6001295e+02	   3.6189072e+00	   1.9765517e+01	   1.3672207e+01	   4.7884620e+02	   8.1906665e+01	   1.0000000e+00	
   3.6226074e+02	   3.6220882e+00	   1.9693103e+01	   1.3945091e+01	   5.0369825e+02	   8.2423979e+01	   1.0000000e+00	
   3.6452283e+02	   3.5870969e+00	   1.9734483e+01	   1.3719045e+01	   5.0106829e+02	   8.2945469e+01	   1.0000000e+00	
   3.6671705e+02	   3.5971437e+00	   1.9720690e+01	   1.3175312e+01	   5.0677672e+02	   8.3437238e+01	   1.0000000e+00	
   3.6891543e+02	   3.6274268e+00	   1.9603448e+01	   1.4480679e+01	   4.8596135e+02	   8.3943891e+01	   1.0000000e+00	
   3.7119954e+02	   3.6408827e+00	   1.9775862e+01	   1.3311754e+01	   4.8726613e+02	   8.4472898e+01	   1.0000000e+00	
   3.7347907e+02	   3.7067034e+00	   1.9648276e+01	   1.3898253e+01	   4.8965144e+02	   8.4989783e+01	   1.0000000e+00	
   3.7595659e+02	   3.6388946e+00	   1.9706897e+01	   1.3376921e+01	   4.9684814e+02	   8.5552905e+01	   1.0000000e+00	
   3.7818065e+02	   3.5845521e+00	   1.9444828e+01	   1.3423759e+01	   5.0131294e+02	   8.6049625e+01	   1.0000000e+00	
   3.8035836e+02	   3.6606201e+00	   1.9706897e+01	   1.3199749e+01	   5.1829551e+02	   8.6532778e+01	   1.0000000e+00	
   3.8257748e+02	   3.6634415e+00	   1.9789655e+01	   1.3541873e+01	   5.2457478e+02	   8.7027301e+01	   1.0000000e+00	
   3.8486171e+02	   3.6272068e+00	   1.9362069e+01	   1.3427832e+01	   5.3570622e+02	   8.7540677e+01	   1.0000000e+00	
   3.8711037e+02	   3.4604922e+00	   1.9603448e+01	   1.4187430e+01	   5.3778572e+02	   8.8058154e+01	   1.0000000e+00	
   3.8930914e+02	   3.5008774e+00	   1.9527586e+01	   1.3354520e+01	   5.1395303e+02	   8.8562808e+01	   1.0000000e+00	
   3.9152077e+02	   3.7051659e+00	   1.9444828e+01	   1.4714871e+01	   5.1540052e+02	   8.9080133e+01	   1.0000000e+00	
   3.9369192e+02	   3.7422202e+00	   1.9700000e+01	   1.3747555e+01	   4.9902957e+02	   8.9595103e+01	   1.0000000e+00	
   3.9587970e+02	   3.7303490e+00	   1.9551724e+01	   1.3415613e+01	   5.3407524e+02	   9.0090326e+01	   1.0000000e+00	
   3.9824666e+02	   3.7389643e+00	   1.9720690e+01	   1.3464488e+01	   5.0683788e+02	   9.0620528e+01	   1.0000000e+00	
   4.0041379e+02	   3.7667982e+00	   1.9772414e+01	   1.3297499e+01	   5.2092547e+02	   9.1103834e+01	   1.0000000e+00	
   4.0261957e+02	   3.6675353e+00	   1.9620690e+01	   1.3651842e+01	   4.8182274e+02	   9.1599203e+01	   1.0000000e+00	
   4.0481393e+02	   3.6668438e+00	   1.9620690e+01	   1.3303608e+01	   4.7564540e+02	   9.2092120e+01	   1.0000000e+00	
   4.0698215e+02	   3.6599285e+00	   1.9465517e+01	   1.3362665e+01	   5.1941681e+02	   9.2573939e+01	   1.0000000e+00	
   4.0918271e+02	   3.6901621e+00	   1.9555172e+01	   1.3264916e+01	   5.1323948e+02	   9.3062235e+01	   1.0000000e+00	
   4.1132625e+02	   3.6625629e+00	   1.9465517e+01	   1.4352382e+01	   4.8202661e+02	   9.3555559e+01	   1.0000000e+00	
   4.1351114e+02	   3.6717122e+00	   1.9548276e+01	   1.4584538e+01	   4.8359643e+02	   9.4082425e+01	   1.0000000e+00	
   4.1571801e+02	   3.6965795e+00	   1.9555172e+01	   1.3861597e+01	   5.4522706e+02	   9.4605567e+01	   1.0000000e+00	
   4.1789931e+02	   3.7038405e+00	   1.9379310e+01	   1.3562238e+01	   5.1597137e+02	   9.5104064e+01	   1.0000000e+00	
   4.2005732e+02	   3.6872727e+00	   1.9444828e+01	   1.4116154e+01	   5.0084403e+02	   9.5601815e+01	   1.0000000e+00	
   4.2225863e+02	   3.6727532e+00	   1.9531034e+01	   1.4250560e+01	   4.7821420e+02	   9.6122183e+01	   1.0000000e+00	
   4.2442601e+02	   3.6412573e+00	   1.9531034e+01	   1.3900289e+01	   4.7625702e+02	   9.6630628e+01	   1.0000000e+00	
   4.2678292e+02	   3.6481726e+00	   1.9724138e+01	   1.3602967e+01	   4.9370850e+02	   9.7170817e+01	   1.0000000e+00	
   4.2905266e+02	   3.6357251e+00	   1.9806897e+01	   1.3938982e+01	   4.7067092e+02	   9.7691760e+01	   1.0000000e+00	
   4.3122311e+02	   3.6785369e+00	   1.9717241e+01	   1.3543910e+01	   5.2643002e+02	   9.8188844e+01	   1.0000000e+00	
   4.3371220e+02	   3.6405381e+00	   1.9379310e+01	   1.4008222e+01	   4.8490121e+02	   9.8760343e+01	   1.0000000e+00	
   4.3611045e+02	   3.6461844e+00	   1.9758621e+01	   1.3323973e+01	   5.0481955e+02	   9.9306589e+01	   1.0000000e+00	
   4.3840608e+02	   3.6838000e+00	   1.9358621e+01	   1.3525582e+01	   4.9423857e+02	   9.9820227e+01	   1.0000000e+00	
   4.4060744e+02	   3.6971603e+00	   1.9617241e+01	   1.3110145e+01	   4.7609392e+02	   1.0030885e+02	   1.0000000e+00	
   4.4282656e+02	   3.6274959e+00	   1.9465517e+01	   1.4340164e+01	   4.3244484e+02	   1.0081648e+02	   1.0000000e+00	
   4.4512785e+02	   3.4632756e+00	   1.9713793e+01	   1.3883998e+01	   4.9935577e+02	   1.0135775e+02	   1.0000000e+00	
   4.4732630e+02	   3.4911096e+00	   1.9803448e+01	   1.4246487e+01	   4.9360656e+02	   1.0187311e+02	   1.0000000e+00	
   4.4961534e+02	   3.6469002e+00	   1.9634483e+01	   1.4022477e+01	   5.2665428e+02	   1.0241235e+02	   1.0000000e+00	
   4.5190032e+02	   3.6456613e+00	   1.9806897e+01	   1.3594821e+01	   5.3230155e+02	   1.0293822e+02	   1.0000000e+00	
   4.5439446e+02	   3.6448590e+00	   1.9465517e+01	   1.3332119e+01	   5.4137387e+02	   1.0349789e+02	   1.0000000e+00	
   4.5664179e+02	   3.6958879e+00	   1.9637931e+01	   1.3808649e+01	   4.7699096e+02	   1.0400617e+02	   1.0000000e+00	
   4.5892938e+02	   3.6761959e+00	   1.9724138e+01	   1.5083470e+01	   4.7001853e+02	   1.0455695e+02	   1.0000000e+00	
